Presentation Data
SampleTime, PercentMoisture
Time: 1469793657, Moistures: 0.35, 12.05, 48.53, 44.83, 21.17, 0.76, 1.00, Rain: 0.01
Time: 1469793662, Moistures: 0.26, 12.19, 48.53, 44.90, 21.17, 0.59, 1.32, Rain: 0.01
Time: 1469793667, Moistures: 0.23, 12.27, 48.61, 45.14, 21.59, 0.67, 1.35, Rain: 0.01
Time: 1469793672, Moistures: 0.62, 12.71, 49.54, 46.37, 23.00, 1.09, 1.06, Rain: 0.01
Time: 1469793677, Moistures: 0.50, 12.05, 48.84, 45.44, 21.59, 0.79, 1.11, Rain: 0.01
Time: 1469793682, Moistures: 0.35, 12.56, 49.38, 46.53, 22.01, 0.85, 1.47, Rain: 0.01
Time: 1469793687, Moistures: 0.44, 12.56, 49.46, 46.91, 23.28, 0.97, 1.11, Rain: 0.01
Time: 1469793692, Moistures: 0.38, 12.78, 49.54, 46.68, 22.43, 1.06, 1.14, Rain: 0.01
Time: 1469793697, Moistures: 0.59, 12.12, 49.00, 46.29, 21.87, 0.76, 1.17, Rain: 0.01
Time: 1469793702, Moistures: 0.26, 12.34, 48.84, 46.76, 22.29, 0.79, 1.17, Rain: 0.01
Time: 1469793707, Moistures: 0.38, 12.71, 49.30, 47.68, 23.42, 1.11, 1.23, Rain: 0.01
Time: 1469793712, Moistures: 0.38, 12.19, 48.92, 46.99, 21.59, 0.82, 1.55, Rain: 0.01
Time: 1469793717, Moistures: 0.67, 12.34, 48.92, 47.61, 22.15, 0.70, 1.26, Rain: 0.01
Time: 1469793722, Moistures: 0.35, 13.00, 49.69, 48.30, 23.84, 1.00, 1.29, Rain: 0.01
Time: 1469793727, Moistures: 0.67, 12.12, 49.00, 47.76, 21.87, 0.70, 1.50, Rain: 0.01
Time: 1469793732, Moistures: 0.53, 12.27, 48.92, 48.22, 22.86, 0.91, 1.29, Rain: 0.01
Time: 1469793737, Moistures: 0.29, 12.34, 48.76, 48.53, 22.58, 0.85, 1.47, Rain: 0.01
Time: 1469793742, Moistures: 0.38, 12.85, 49.61, 49.30, 23.70, 0.97, 1.41, Rain: 0.01
Time: 1469793747, Moistures: 0.41, 12.78, 49.69, 49.46, 23.00, 0.82, 1.41, Rain: 0.01
Time: 1469793752, Moistures: 0.41, 12.93, 49.54, 49.77, 23.00, 0.73, 1.47, Rain: 0.01
Time: 1469793757, Moistures: 0.26, 12.34, 48.92, 49.15, 22.86, 0.67, 1.55, Rain: 0.01
Time: 1469793762, Moistures: 0.38, 12.85, 49.30, 0.00, 23.00, 1.09, 1.52, Rain: 0.01
Time: 1469793767, Moistures: 0.35, 13.07, 49.61, 0.00, 23.00, 0.79, 1.55, Rain: 0.01
Time: 1469793772, Moistures: 0.32, 13.00, 49.77, 50.00, 22.86, 0.70, 1.61, Rain: 0.01
